date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-03-07,4418,5181,1091,798,1,1,0,1
2022-03-08,4418,5181,1091,798,1,1,0,1
2022-03-09,4418,5181,1091,798,1,1,0,1
2022-03-10,4418,5181,1091,798,0,1,0,0
2022-03-11,4418,5181,1091,798,0,1,0,0
2022-03-12,4418,5181,1091,798,0,1,0,0
2022-03-13,4418,5181,1091,798,0,1,0,0
2022-03-14,4418,5181,1091,798,0,1,0,0
2022-03-15,4418,5181,1091,798,0,1,0,0
2022-03-16,4418,5181,1091,798,0,1,0,0
2022-03-17,4418,5181,1091,798,0,1,0,0
2022-03-18,4418,5181,1091,798,0,1,0,0
2022-03-19,4418,5181,1091,798,0,1,0,0
2022-03-20,4418,5181,1091,798,0,1,0,0
2022-03-21,4418,5181,1091,798,0,1,0,0
2022-03-22,4418,5181,1091,798,0,1,0,0
2022-03-23,4418,5181,1091,798,0,1,0,0
2022-03-24,4418,5181,1091,798,0,1,0,0
2022-03-25,4418,5181,1091,798,0,1,0,0
2022-03-26,4418,5181,1091,798,0,1,0,0
2022-03-27,4418,5181,1091,798,0,1,0,0
2022-03-28,4418,5181,1091,798,0,1,0,0
2022-03-29,4418,5181,1091,798,0,1,0,0
2022-03-30,4418,5181,1091,798,0,1,0,0
2022-03-31,4418,5181,1091,798,0,1,0,0
2022-04-01,4418,5181,1091,798,0,1,0,0
2022-04-02,4418,5181,1091,798,0,1,0,0
2022-04-03,4418,5181,1091,798,0,1,0,0
2022-04-04,4418,5181,1091,798,0,1,0,0
2022-04-05,4418,5181,1091,798,0,1,0,0
2022-04-06,4418,5181,1091,798,0,1,0,0
2022-04-07,4418,5181,1091,798,0,1,0,0
2022-04-08,4418,5181,1091,798,0,1,0,0
2022-04-09,4418,5181,1091,798,0,1,0,0
2022-04-10,4418,5181,1091,798,0,1,0,0
2022-04-11,4418,5181,1091,798,0,1,0,0
2022-04-12,4418,5181,1091,798,0,1,0,0
2022-04-13,4418,5181,1091,798,0,1,0,0
2022-04-14,4418,5181,1091,798,0,1,0,0
2022-04-15,4418,5181,1091,798,0,1,0,0
2022-04-16,4418,5181,1091,798,0,1,0,0
2022-04-17,4418,5181,1091,798,0,1,0,0
2022-04-18,4418,5181,1091,798,0,1,0,0
2022-04-19,4418,5181,1091,798,0,1,0,0
2022-04-20,4418,5181,1091,798,0,1,0,0
2022-04-21,4418,5181,1091,797,0,0,0,0
2022-04-22,4418,5181,1091,797,0,0,0,0
2022-04-23,4418,5181,1091,797,0,0,0,0
2022-04-24,4418,5181,1091,797,0,0,0,0
2022-04-25,4418,5181,1091,797,0,0,0,0
2022-04-26,4418,5181,1091,797,0,0,0,0
2022-04-27,4418,5181,1091,797,0,0,0,0
2022-04-28,4418,5181,1091,797,0,0,0,0
2022-04-29,4418,5181,1091,797,0,0,0,0
2022-04-30,4418,5181,1091,797,0,0,0,0
2022-05-01,4418,5181,1091,797,0,0,0,0
2022-05-02,4418,5181,1091,797,0,0,0,0
2022-05-03,4418,5181,1091,797,0,0,0,0
2022-05-04,4418,5181,1091,797,0,0,0,0
2022-05-05,4418,5181,1091,797,0,0,0,0
2022-05-06,4418,5181,1091,797,0,0,0,0
2022-05-07,4418,5181,1091,797,0,0,0,0
2022-05-08,4418,5181,1091,797,0,0,0,0
2022-05-09,4418,5181,1091,797,0,0,0,0
2022-05-10,4418,5181,1091,797,0,0,0,0
2022-05-11,4418,5181,1091,797,0,0,0,0
2022-05-12,4418,5181,1091,797,0,0,0,0
2022-05-13,4418,5181,1091,797,0,0,0,0
2022-05-14,4418,5181,1091,797,0,0,0,0
2022-05-15,4418,5181,1091,797,0,0,0,0
2022-05-16,4418,5181,1091,797,0,0,0,0
2022-05-17,4418,5181,1091,797,0,0,0,0
2022-05-18,4418,5181,1091,797,0,0,0,0
2022-05-19,4418,5181,1091,797,0,0,0,0
2022-05-20,4418,5181,1091,797,0,0,0,0
2022-05-21,4418,5181,1091,797,0,0,0,0
2022-05-22,4418,5181,1091,797,0,0,0,0
2022-05-23,4418,5181,1091,797,0,0,0,0
2022-05-24,4418,5181,1091,797,0,0,0,0
2022-05-25,4418,5181,1091,797,0,0,0,0
2022-05-26,4418,5181,1091,797,0,0,0,0
2022-05-27,4418,5181,1091,797,0,0,0,0
2022-05-28,4418,5181,1091,797,0,0,0,0
2022-05-29,4418,5181,1091,797,0,0,0,0
2022-05-30,4418,5181,1091,797,0,0,0,0
2022-05-31,4418,5181,1091,797,0,0,0,0
2022-06-01,4418,5181,1091,797,0,0,0,0
2022-06-02,4418,5181,1091,797,0,0,0,0
2022-06-03,4418,5181,1091,797,0,0,0,0
2022-06-04,4418,5181,1091,797,0,0,0,0
2022-06-05,4418,5181,1091,797,0,0,0,0
2022-06-06,4418,5181,1091,797,0,0,0,0
2022-06-07,4418,5181,1091,797,0,0,0,0
2022-06-08,4418,5181,1091,797,0,0,0,0
2022-06-10,4418,5181,1091,797,0,0,0,0
2022-06-11,4418,5181,1091,797,0,0,0,0
2022-06-12,4418,5181,1091,797,0,0,0,0
2022-06-13,4418,5181,1091,797,0,0,0,0
2022-06-14,4418,5181,1091,797,0,0,0,0
2022-06-15,4418,5181,1091,797,0,0,0,0
2022-06-16,4418,5181,1091,797,0,0,0,0
2022-06-17,4418,5181,1091,797,0,0,0,0
2022-06-18,4418,5181,1091,797,0,0,0,0
2022-06-19,4418,5181,1091,797,0,0,0,0
2022-06-20,4418,5181,1091,797,0,0,0,0
2022-06-21,4418,5181,1091,797,0,0,0,0
2022-06-22,4418,5181,1091,797,0,0,0,0
2022-06-23,4418,5181,1091,797,0,0,0,0
2022-06-24,4418,5181,1091,797,0,0,0,0
2022-06-25,4418,5181,1091,797,0,0,0,0
2022-06-26,4418,5181,1091,797,0,0,0,0
2022-06-27,4418,5181,1091,797,0,0,0,0
2022-06-28,4418,5181,1091,797,0,0,0,0
2022-06-29,4418,5181,1091,797,0,0,0,0
2022-06-30,4418,5181,1091,797,0,0,0,0
2022-07-01,4418,5181,1091,797,0,0,0,0
2022-07-02,4418,5181,1091,797,0,0,0,0
2022-07-03,4418,5181,1091,797,0,0,0,0
2022-07-04,4418,5181,1091,797,0,0,0,0
2022-07-05,4418,5181,1091,797,0,0,0,0
2022-07-06,4418,5181,1091,797,0,0,0,0
2022-07-07,4418,5181,1091,797,0,0,0,0
2022-07-08,4418,5181,1091,797,0,0,0,0
2022-07-09,4418,5181,1091,797,0,0,0,0
2022-07-10,4418,5181,1091,797,0,0,0,0
2022-07-11,4418,5181,1091,797,0,0,0,0
2022-07-12,4418,5181,1091,797,0,0,0,0
2022-07-13,4418,5181,1091,797,0,0,0,0
2022-07-14,4418,5181,1091,797,0,0,0,0
2022-07-15,4418,5181,1091,797,0,0,0,0
2022-07-16,4418,5181,1091,797,0,0,0,0
2022-07-17,4418,5181,1091,797,0,0,0,0
2022-07-18,4418,5181,1091,797,0,0,0,0
2022-07-19,4418,5181,1091,797,0,0,0,0
2022-07-20,4418,5181,1091,797,0,0,0,0
2022-07-21,4418,5181,1091,797,0,0,0,0
2022-07-22,4418,5181,1091,797,0,0,0,0
2022-07-23,4418,5181,1091,797,0,0,0,0
2022-07-24,4418,5181,1091,797,0,0,0,0
2022-07-25,4418,5181,1091,797,0,0,0,0
2022-07-26,4418,5181,1091,797,0,0,0,0
2022-07-27,4418,5181,1091,797,0,0,0,0
2022-07-28,4418,5181,1091,797,0,0,0,0
2022-07-29,4418,5181,1091,797,0,0,0,0
2022-07-30,4418,5181,1091,797,0,0,0,0
2022-07-31,4418,5181,1091,797,0,0,0,0
2022-08-01,4418,5181,1091,797,0,0,0,0
2022-08-02,4418,5181,1091,797,0,0,0,0
2022-08-03,4418,5181,1091,797,0,0,0,0
2022-08-04,4418,5181,1091,797,0,0,0,0
2022-08-05,4418,5181,1091,797,0,0,0,0
2022-08-06,4418,5181,1091,797,0,0,0,0
2022-08-07,4418,5181,1091,797,0,0,0,0
2022-08-08,4418,5181,1091,797,0,0,0,0
2022-08-09,4418,5181,1091,797,0,0,0,0
2022-08-10,4418,5181,1091,797,0,0,0,0
2022-08-11,4418,5181,1091,797,0,0,0,0
2022-08-12,4418,5181,1091,797,0,0,0,0
2022-08-13,4418,5181,1091,797,0,0,0,0
2022-08-14,4418,5181,1091,797,0,0,0,0
2022-08-15,4418,5181,1091,797,0,0,0,0
2022-08-16,4418,5181,1091,797,0,0,0,0
2022-08-17,4418,5181,1091,797,0,0,0,0
2022-08-18,4418,5181,1091,797,0,0,0,0
2022-08-19,4418,5181,1091,797,0,0,0,0
2022-08-20,4418,5181,1091,797,0,0,0,0
2022-08-21,4418,5181,1091,797,0,0,0,0
2022-08-22,4418,5181,1091,797,0,0,0,0
2022-08-23,4418,5181,1091,797,0,0,0,0
2022-08-24,4418,5181,1091,797,0,0,0,0
2022-08-25,4418,5181,1091,797,0,0,0,0
2022-08-26,4418,5181,1091,797,0,0,0,0
2022-08-27,4418,5181,1091,797,0,0,0,0
2022-08-28,4418,5181,1091,797,0,0,0,0
2022-08-29,4418,5181,1091,797,0,0,0,0
2022-08-30,4418,5181,1091,797,0,0,0,0
2022-08-31,4418,5181,1091,797,0,0,0,0
2022-09-01,4418,5181,1091,797,0,0,0,0
2022-09-02,4418,5181,1091,797,0,0,0,0
2022-09-03,4418,5181,1091,797,0,0,0,0
2022-09-04,4418,5181,1091,797,0,0,0,0
2022-09-05,4418,5181,1091,797,0,0,0,0
2022-09-06,4418,5181,1091,797,0,0,0,0
2022-09-07,4418,5181,1091,797,0,0,0,0
2022-09-08,4418,5181,1091,797,0,0,0,0
2022-09-09,4418,5181,1091,797,0,0,0,0
2022-09-10,4418,5181,1091,797,0,0,0,0
2022-09-11,4418,5181,1091,797,0,0,0,0
2022-09-12,4418,5181,1091,797,0,0,0,0
2022-09-13,4418,5181,1091,797,0,0,0,0
2022-09-14,4418,5181,1091,797,0,0,0,0
2022-09-15,4418,5181,1091,797,0,0,0,0
2022-09-16,4418,5181,1091,797,0,0,0,0
2022-09-17,4418,5181,1091,797,0,0,0,0
2022-09-18,4418,5181,1091,797,0,0,0,0
2022-09-19,4418,5181,1091,797,0,0,0,0
2022-09-20,4418,5181,1091,797,0,0,0,0
2022-09-21,4418,5181,1091,797,0,0,0,0
2022-09-22,4418,5181,1091,797,0,0,0,0
2022-09-23,4418,5181,1091,797,0,0,0,0
2022-09-24,4418,5181,1091,797,0,0,0,0
2022-09-25,4418,5181,1091,797,0,0,0,0
2022-09-26,4418,5181,1091,797,0,0,0,0
2022-09-27,4418,5181,1091,797,0,0,0,0
2022-09-28,4418,5181,1091,797,0,0,0,0
2022-09-29,4418,5181,1091,797,0,0,0,0
2022-09-30,4418,5181,1091,797,0,0,0,0
2022-10-01,4418,5181,1091,797,0,0,0,0
2022-10-02,4418,5181,1091,797,0,0,0,0
2022-10-03,4418,5181,1091,797,0,0,0,0
2022-10-04,4418,5181,1091,797,0,0,0,0
2022-10-05,4418,5181,1091,797,0,0,0,0
2022-10-06,4418,5181,1091,797,0,0,0,0
2022-10-07,4418,5181,1091,797,0,0,0,0
2022-10-08,4418,5181,1091,797,0,0,0,0
2022-10-09,4418,5181,1091,797,0,0,0,0
2022-10-10,4418,5181,1091,797,0,0,0,0
2022-10-11,4418,5181,1091,797,0,0,0,0
2022-10-12,4418,5181,1091,797,0,0,0,0
2022-10-13,4418,5181,1091,797,0,0,0,0
2022-10-14,4418,5181,1091,797,0,0,0,0
2022-10-15,4418,5181,1091,797,0,0,0,0
2022-10-16,4418,5181,1091,797,0,0,0,0
2022-10-17,4418,5181,1091,797,0,0,0,0
2022-10-18,4418,5181,1091,797,0,0,0,0
2022-10-19,4418,5181,1091,797,0,0,0,0
2022-10-20,4418,5181,1091,797,0,0,0,0
2022-10-21,4418,5181,1091,797,0,0,0,0
2022-10-22,4418,5181,1091,797,0,0,0,0
2022-10-23,4418,5181,1091,797,0,0,0,0
2022-10-24,4418,5181,1091,797,0,0,0,0
2022-10-25,4418,5181,1091,797,0,0,0,0
2022-10-26,4418,5181,1091,797,0,0,0,0
2022-10-27,4418,5181,1091,797,0,0,0,0
2022-10-28,4418,5181,1091,797,0,0,0,0
2022-10-29,4418,5181,1091,797,0,0,0,0
2022-10-30,4418,5181,1091,797,0,0,0,0
2022-10-31,4418,5181,1091,797,0,0,0,0
2022-11-01,4418,5181,1091,797,0,0,0,0
2022-11-02,4418,5181,1091,797,0,0,0,0
2022-11-03,4418,5181,1091,797,0,0,0,0
2022-11-04,4418,5181,1091,797,0,0,0,0
2022-11-05,4418,5181,1091,797,0,0,0,0
2022-11-06,4418,5181,1091,797,0,0,0,0
2022-11-07,4418,5181,1091,797,0,0,0,1
2022-11-08,4418,5181,1091,797,0,0,0,1
2022-11-09,4418,5181,1091,797,0,0,0,1
2022-11-10,4418,5181,1091,797,0,0,0,1
2022-11-11,4418,5181,1091,797,0,0,0,1
2022-11-12,4418,5181,1091,797,0,0,0,1
2022-11-13,4418,5181,1091,797,0,0,0,1
2022-11-14,4418,5181,1091,797,0,0,0,1
2022-11-15,4418,5181,1091,797,0,0,0,1
2022-11-16,4418,5181,1091,797,0,0,0,1
2022-11-17,4418,5181,1091,797,0,0,0,1
2022-11-18,4418,5181,1091,797,0,0,0,1
2022-11-19,4418,5181,1091,797,0,0,0,1
2022-11-20,4418,5181,1091,797,0,0,0,1
2022-11-21,4418,5181,1091,797,0,0,0,1
2022-11-22,4418,5181,1091,797,0,0,0,1
2022-11-23,4418,5181,1091,797,0,0,0,1
2022-11-24,4418,5181,1091,797,0,0,0,1
2022-11-25,4418,5181,1091,797,0,0,0,1
2022-11-26,4418,5181,1091,797,0,0,0,1
2022-11-27,4418,5181,1091,797,0,0,0,1
2022-11-28,4418,5181,1091,797,0,0,0,1
2022-11-29,4418,5181,1091,797,0,0,0,1
2022-11-30,4418,5181,1091,797,0,0,0,1
2022-12-01,4418,5181,1091,797,0,0,0,1
2022-12-02,4418,5181,1091,797,0,0,0,1
2022-12-03,4418,5181,1091,797,0,0,0,1
2022-12-04,4418,5181,1091,797,0,0,0,1
2022-12-05,4418,5181,1091,797,0,0,0,1
2022-12-06,4418,5181,1091,797,0,0,0,1
2022-12-07,4418,5181,1091,797,0,0,0,1
2022-12-08,4418,5181,1091,797,0,0,0,1
2022-12-09,4418,5181,1091,797,0,0,0,1
2022-12-10,4418,5181,1091,797,0,0,0,1
2022-12-11,4418,5181,1091,797,0,0,0,1
2022-12-12,4418,5181,1091,797,0,0,0,1
2022-12-13,4418,5181,1091,797,0,0,0,1
2022-12-14,4418,5181,1091,797,0,0,0,1
2022-12-15,4418,5181,1091,797,0,0,0,1
2022-12-16,4418,5181,1091,797,0,0,0,1
2022-12-17,4418,5181,1091,797,0,0,0,1
2022-12-18,4418,5181,1091,797,0,0,0,1
2022-12-19,4418,5181,1091,797,0,0,0,1
2022-12-20,4418,5181,1091,797,0,0,0,1
2022-12-21,4418,5181,1091,797,0,0,0,1
2022-12-22,4418,5181,1091,797,0,0,0,1
2022-12-23,4418,5181,1091,797,0,0,0,1
2022-12-24,4418,5181,1091,797,0,0,0,1
2022-12-25,4418,5181,1091,797,0,0,0,1
2022-12-26,4418,5181,1091,797,0,0,0,1
2022-12-27,4418,5181,1091,797,0,0,0,1
2022-12-28,4418,5181,1091,797,0,0,0,1
2022-12-29,4418,5181,1091,797,0,0,0,1
2022-12-30,4418,5181,1091,797,0,0,0,1
